App,Shortcut,Name,Tags,Pinned,description,subcategory
macOS,Show Notification Center (Alt),Fn + Option + F16,system notifications,0,Alternative Notification Center shortcut,
macOS,Turn Do Not Disturb On/Off (Alt),Fn + Option + F17,system notifications,0,Alternative Do Not Disturb shortcut,
macOS,Open Mission Control View,Fn + Shift + Left Arrow,system window-management,0,Open Mission Control view,
macOS,Show All Application Windows,Fn + Shift + Right Arrow,system window-management,0,Show all windows for current app,
macOS,Change Tab Focus,Control + Tab,system navigation accessibility,0,Change how Tab key moves focus,
macOS,Open Launchpad (F5),Fn + F5,system dock navigation,0,Open Launchpad,
macOS,Send to Keka,Ctrl + Cmd + K,compression archiving,0,Send files to Keka for compression,
macOS,Extract using Keka,Ctrl + Cmd + X,compression archiving extraction,0,Extract archives using Keka,
macOS,Compress using Keka,Ctrl + Cmd + C,compression archiving,0,Compress files using Keka,
macOS,Convert to Traditional Chinese,Shift + Ctrl + Option + C,text chinese localization,0,Convert simplified to traditional Chinese text,
macOS,Convert to Simplified Chinese,Shift + Ctrl + Option + Tilde + C,text chinese localization,0,Convert traditional to simplified Chinese text,
Xcode-beta,Build,⌘B,build compile ios macos swift,0,Build current project,
Xcode-beta,Run,⌘R,run debug ios macos swift,0,Run current project,
Xcode-beta,Test,⌘U,test unit-testing ios macos swift,0,Run unit tests,
Xcode-beta,Stop,⌘.,stop build run ios macos swift,0,Stop current build/run,
Xcode-beta,Clean Build Folder,⌘⇧K,clean build ios macos swift,0,Clean build folder,
Xcode-beta,Build and Run without Debugging,⌘⇧R,run build ios macos swift,0,Build and run without debugging,
Xcode-beta,Profile,⌘I,profile performance debug ios macos swift,0,Profile app with Instruments,
Xcode-beta,Archive,⌘⇧B,archive distribution ios macos swift,0,Archive for distribution,
Xcode-beta,Quick Open File,⌘⇧O,navigation file-management productivity ios macos swift,0,Quickly open file by name,
Xcode-beta,Jump to Definition,⌘⌃J,navigation code-navigation ios macos swift,0,Jump to definition of symbol,
Xcode-beta,Show Find Navigator,⌘3,navigation search ios macos swift,0,Show find navigator,
Xcode-beta,Show Issue Navigator,⌘4,debugging error-handling ios macos swift,0,Show issue navigator,
Xcode-beta,Show Debug Navigator,⌘6,debugging runtime ios macos swift,0,Show debug navigator,
Xcode-beta,Show Breakpoint Navigator,⌘7,debugging breakpoints ios macos swift,0,Show breakpoint navigator,
Xcode-beta,Show Report Navigator,⌘9,build logs ios macos swift,0,Show report navigator,
Xcode-beta,Toggle Debug Area Visibility,⌘⇧Y,debugging workspace ios macos swift,0,Toggle debug area visibility,
Xcode-beta,Toggle Navigator Area,⌘0,workspace layout ios macos swift,0,Toggle navigator area,
Xcode-beta,Toggle Inspector Area,⌘⌥0,workspace layout ios macos swift,0,Toggle inspector area,
Xcode-beta,Toggle Line Comments,⌘/,editing code-formatting ios macos swift,0,Toggle line comments,
Xcode-beta,Indent Lines,⌘],editing code-formatting ios macos swift,0,Indent selected lines,
Xcode-beta,Outdent Lines,⌘[,editing code-formatting ios macos swift,0,Outdent selected lines,
Xcode-beta,Show Code Completions,⌃Space,editing autocomplete ios macos swift,0,Show code completions,
Xcode-beta,Find in Project,⌘⇧F,search global-search ios macos swift,0,Find in project,
Xcode-beta,Replace in Project,⌘⌥⇧F,search global-replace ios macos swift,0,Replace in project,
Xcode-beta,New File,⌘N,file-management project-management ios macos swift,0,Create new file,
Xcode-beta,New Project,⌘⇧N,project-management ios macos swift,0,Create new project,
Xcode-beta,Show Documentation Window,⌘⇧0,documentation reference ios macos swift,0,Show documentation window,
Xcode-beta,Jump to Line,⌘L,navigation goto ios macos swift,0,Jump to specific line number,
Xcode-beta,Add/Remove Breakpoint,⌘\,debugging breakpoints ios macos swift,0,Add/remove breakpoint,
Xcode-beta,Continue Execution,⌘⌃Y,debugging runtime ios macos swift,0,Continue execution,
GitHub Desktop,Repository Browser,⌘T,git repository-management version-control,0,Browse repositories,
GitHub Desktop,Clone Repository,⌘⇧O,git clone version-control,0,Clone a repository,
GitHub Desktop,Create Branch,⌘⇧N,git branching version-control,0,Create new branch,
GitHub Desktop,Switch Branch,⌘B,git branching version-control,0,Switch between branches,
GitHub Desktop,Pull Changes,⌘⇧P,git sync version-control,0,Pull changes from remote,
GitHub Desktop,Push Changes,⌘P,git sync version-control,0,Push changes to remote,
GitHub Desktop,Commit Staged Changes,⌘Return,git commit version-control,0,Commit staged changes,
GitHub Desktop,Show Changes Diff,⌘D,git diff version-control,0,Show diff of changes,
GitHub Desktop,Discard Changes,⌘⌥Z,git undo version-control,0,Discard selected changes,
GitHub Desktop,Show Commit History,⌘H,git history version-control,0,Show commit history,
GitHub Desktop,View Repository on GitHub,⌘⇧G,git web version-control,0,Open repository on GitHub.com,
GitHub Desktop,Show in Finder,⌘⇧A,file-management git version-control,0,Show repository in Finder,
CotEditor,New Document,⌘N,file-management text-editing,0,Create new document,
CotEditor,Open Document,⌘O,file-management text-editing,0,Open existing document,
CotEditor,Save Document,⌘S,file-management text-editing,0,Save current document,
CotEditor,Find Text,⌘F,search text-editing,0,Find text in document,
CotEditor,Find and Replace Text,⌘⌥F,search text-editing replace,0,Find and replace text,
CotEditor,Toggle Line Numbers,⌘L,text-editing line-numbers display,0,Toggle line numbers,
CotEditor,Change Syntax Highlighting,⌘⇧S,text-editing syntax highlighting,0,Change syntax highlighting,
CotEditor,Increase Indentation,⌘],text-editing indentation code,0,Increase line indentation,
CotEditor,Decrease Indentation,⌘[,text-editing indentation code,0,Decrease line indentation,
CotEditor,Go to Line,⌘G,navigation goto text-editing,0,Go to specific line,
Sketch,Duplicate Object,⌘D,design duplication ui-design,0,Duplicate selected object,
Sketch,Group Objects,⌘G,design organization ui-design,0,Group selected objects,
Sketch,Ungroup Objects,⌘⇧G,design organization ui-design,0,Ungroup selected group,
Sketch,Copy Object Style,⌘⌥C,design styling ui-design,0,Copy object style,
Sketch,Paste Object Style,⌘⌥V,design styling ui-design,0,Paste object style,
Sketch,Zoom to Fit All Content,⌘0,design zoom navigation ui-design,0,Zoom to fit all content,
Sketch,Zoom to Selection,⌘1,design zoom navigation ui-design,0,Zoom to selected object,
Sketch,Actual Size (100% Zoom),⌘2,design zoom navigation ui-design,0,Zoom to 100%,
Sketch,Toggle Layers Panel,⌘⌥1,design workspace ui-design,0,Toggle layers panel,
Sketch,Toggle Inspector Panel,⌘⌥2,design workspace ui-design,0,Toggle inspector panel,
Sketch,Export Objects,⌘E,design export ui-design,0,Export selected objects,
Draw.io,New Diagram,⌘N,diagram flowchart design,0,Create new diagram,
Draw.io,Open Diagram,⌘O,diagram file-management,0,Open existing diagram,
Draw.io,Save Diagram,⌘S,diagram file-management,0,Save current diagram,
Draw.io,Undo,⌘Z,editing undo diagram,0,Undo last action,
Draw.io,Redo,⌘⇧Z,editing redo diagram,0,Redo last undone action,
Draw.io,Copy Elements,⌘C,editing clipboard diagram,0,Copy selected elements,
Draw.io,Paste Elements,⌘V,editing clipboard diagram,0,Paste copied elements,
Draw.io,Select All,⌘A,editing selection diagram,0,Select all elements,
Draw.io,Group Elements,⌘G,editing organization diagram,0,Group selected elements,
Draw.io,Ungroup Elements,⌘⇧G,editing organization diagram,0,Ungroup selected group,
Draw.io,Bring to Front,⌘⇧],editing layering diagram,0,Bring element to front,
Draw.io,Send to Back,⌘⇧[,editing layering diagram,0,Send element to back,
Draw.io,Zoom In,⌘+,navigation zoom diagram,0,Zoom in,
Draw.io,Zoom Out,⌘-,navigation zoom diagram,0,Zoom out,
Draw.io,Fit Diagram to Page,⌘0,navigation zoom diagram,0,Fit diagram to page,
Windsurf,Open Command Palette,⌘⇧P,ai-coding command-palette code-editor,0,Open command palette,
Windsurf,Save File,⌘S,ai-coding file-management code-editor,0,Save current file,
Windsurf,Find in Current File,⌘F,ai-coding search code-editor,0,Find in current file,
Windsurf,Find Across All Files,⌘⇧F,ai-coding global-search code-editor,0,Find across all files,
Windsurf,Find and Replace,⌘⌥F,ai-coding search replace code-editor,0,Find and replace,
Windsurf,Find All References,⇧F12,ai-coding navigation code-editor,0,Find all references,
Windsurf,Toggle Line Comment,⌘/,ai-coding commenting code-editor,0,Toggle line comment,
Windsurf,Show Problems Panel,⌘⇧M,ai-coding debugging code-editor,0,Show problems panel,
Windsurf,Open Integrated Terminal,⌘`,ai-coding terminal code-editor,0,Open integrated terminal,
Windsurf,Show File Explorer,⌘⇧E,ai-coding file-management code-editor,0,Show file explorer,
Windsurf,Show Source Control,⌘⇧G,ai-coding git version-control code-editor,0,Show source control,
Windsurf,Show Extensions,⌘⇧X,ai-coding extensions code-editor,0,Show extensions,
Windsurf,Show Debug Panel,⌘⇧D,ai-coding debugging code-editor,0,Show debug panel,
Windsurf,Run Build/Test Tasks,⌘⇧P → Tasks,ai-coding build automation code-editor,0,Run build/test tasks,
Cursor,Toggle Sidebar Visibility,⌘B,code-editor workspace,0,Toggle sidebar visibility,
Cursor,Enter Distraction-Free Mode,⌘K Z,code-editor focus,0,Enter distraction-free mode,
Cursor,Split Editor Vertically,⌘\,code-editor workspace,0,Split editor vertically,
Cursor,Close Current Editor Tab,⌘W,code-editor workspace,0,Close current editor tab,
Cursor,Create New Terminal,⌘⇧`,code-editor terminal,0,Create new terminal,
Cursor,Go to Specific Line,⌘G,code-editor navigation,0,Go to specific line,
Cursor,Peek Definition Inline,⌥F12,code-editor navigation,0,Peek definition inline,
Cursor,Show All Symbols in Workspace,⌘T,code-editor navigation,0,Show all symbols in workspace,
ChatGPT Desktop,Toggle Launcher,Option+Space,launcher quick-access,0,Open/close the main ChatGPT launcher,
Discord,Mute/Unmute Microphone,Cmd+Shift+M,voice communication,0,Mute or unmute microphone during voice chat,
Discord,Deafen/Undeafen,Cmd+Shift+D,voice communication,0,Toggle deafen to stop hearing all audio,
Discord,Toggle Camera,Cmd+Shift+O,video communication,0,Turn camera on/off during video call,
Discord,Start Voice Call,Cmd+Shift+R,calling,0,Start a voice call in current channel/DM,
Messages,Archive Conversation,Cmd+Shift+A,organization,0,Archive the current conversation,
FaceTime,Toggle Microphone Mute,Cmd+Shift+M,voice communication,0,Toggle microphone mute during call,
FaceTime,Enter/Exit Full Screen,Cmd+Ctrl+F,interface,0,Enter/exit full screen mode,
Notion,Global Search,Cmd+Shift+P,search,0,Global search across workspace,
VLC Media Player,Toggle Fullscreen,Command+f,media playback,0,Enter or exit fullscreen mode,
VLC Media Player,Faster Playback,Command+=,media playback,0,Increase playback speed,
VLC Media Player,Slower Playback,Command+-,media playback,0,Decrease playback speed,
VLC Media Player,Next Track,Command+Right,media playback,0,Skip to next media file,
VLC Media Player,Previous Track,Command+Left,media playback,0,Skip to previous media file,
VLC Media Player,Stop Playback,Command+.,media playback,0,Stop playback,
VLC Media Player,Jump Very Short Backward,Command+Ctrl+Left,media navigation,0,Jump backward by very short interval,
VLC Media Player,Jump Very Short Forward,Command+Ctrl+Right,media navigation,0,Jump forward by very short interval,
VLC Media Player,Jump Short Backward,Command+Alt+Left,media navigation,0,Jump backward by short interval,
VLC Media Player,Jump Short Forward,Command+Alt+Right,media navigation,0,Jump forward by short interval,
VLC Media Player,Jump Medium Backward,Command+Shift+Left,media navigation,0,Jump backward by medium interval,
VLC Media Player,Jump Medium Forward,Command+Shift+Right,media navigation,0,Jump forward by medium interval,
VLC Media Player,Jump Long Backward,Command+Shift+Alt+Left,media navigation,0,Jump backward by long interval,
VLC Media Player,Jump Long Forward,Command+Shift+Alt+Right,media navigation,0,Jump forward by long interval,
VLC Media Player,Open Disc Menu,Ctrl+m,media navigation,0,Open disc menu,
VLC Media Player,Previous Title,Ctrl+p,media navigation,0,Go to previous title,
VLC Media Player,Next Title,Ctrl+n,media navigation,0,Go to next title,
VLC Media Player,Previous Chapter,Ctrl+u,media navigation,0,Go to previous chapter,
VLC Media Player,Next Chapter,Ctrl+d,media navigation,0,Go to next chapter,
VLC Media Player,Quit VLC Application,Command+q,application control,0,Exit VLC application,
VLC Media Player,Volume Up,Command+Up,audio control,0,Increase volume,
VLC Media Player,Volume Down,Command+Down,audio control,0,Decrease volume,
VLC Media Player,Toggle Mute,Command+Alt+Down,audio control,0,Toggle mute,
VLC Media Player,Subtitle Sync Mark Audio,Shift+h,subtitle control,0,Mark audio point for subtitle sync,
VLC Media Player,Subtitle Sync Mark Subtitle,Shift+j,subtitle control,0,Mark subtitle point for sync,
VLC Media Player,Subtitle Sync Apply,Shift+k,subtitle control,0,Apply subtitle synchronization,
VLC Media Player,Subtitle Sync Reset,Command+Shift+k,subtitle control,0,Reset subtitle synchronization,
VLC Media Player,Cycle Audio Devices,Shift+a,audio control,0,Cycle through audio devices,
VLC Media Player,Previous Subtitle Track,Alt+s,subtitle control,0,Go to previous subtitle track,
VLC Media Player,Toggle Subtitles,Shift+s,subtitle control,0,Show or hide subtitles,
VLC Media Player,Previous Program/Stream,Shift+x,media navigation,0,Switch to previous program/stream,
VLC Media Player,Increase Video Scale,Alt+o,video control,0,Increase video scale factor,
VLC Media Player,Decrease Video Scale,Shift+Alt+o,video control,0,Decrease video scale factor,
VLC Media Player,Cycle Deinterlacing Modes,Shift+d,video control,0,Cycle deinterlacing modes,
VLC Media Player,Take Screenshot,Command+Alt+s,video control,0,Capture screenshot of video,
VLC Media Player,Start/Stop Recording,Command+Shift+r,media recording,0,Start or stop recording,
VLC Media Player,Unzoom Video,Shift+z,video control,0,Zoom out on video,
VLC Media Player,Crop Video Top,Alt+i,video control,0,Crop video from top,
VLC Media Player,Uncrop Video Top,Alt+Shift+i,video control,0,Remove top cropping,
VLC Media Player,Crop Video Left,Alt+j,video control,0,Crop video from left,
VLC Media Player,Uncrop Video Left,Alt+Shift+j,video control,0,Remove left cropping,
VLC Media Player,Crop Video Bottom,Alt+k,video control,0,Crop video from bottom,
VLC Media Player,Uncrop Video Bottom,Alt+Shift+k,video control,0,Remove bottom cropping,
VLC Media Player,Crop Video Right,Alt+l,video control,0,Crop video from right,
VLC Media Player,Uncrop Video Right,Alt+Shift+l,video control,0,Remove right cropping,
VLC Media Player,Toggle Random/Shuffle,Command+z,playlist control,0,Toggle random/shuffle mode,
VLC Media Player,Toggle Loop Mode,Shift+l,playlist control,0,Toggle loop mode,
VLC Media Player,Zoom to 25%,Command+0,video control,0,Set zoom to 25%,
VLC Media Player,Zoom to 50%,Command+0,video control,0,Set zoom to 50%,
VLC Media Player,Zoom to 100%,Command+1,video control,0,Set zoom to 100%,
VLC Media Player,Zoom to 200%,Command+2,video control,0,Set zoom to 200%,
VLC Media Player,Set Bookmark 1,Command+F1,bookmark control,0,Set bookmark at current position,
VLC Media Player,Set Bookmark 2,Command+F2,bookmark control,0,Set bookmark at current position,
VLC Media Player,Set Bookmark 3,Command+F3,bookmark control,0,Set bookmark at current position,
VLC Media Player,Set Bookmark 4,Command+F4,bookmark control,0,Set bookmark at current position,
VLC Media Player,Set Bookmark 5,Command+F5,bookmark control,0,Set bookmark at current position,
VLC Media Player,Set Bookmark 6,Command+F6,bookmark control,0,Set bookmark at current position,
VLC Media Player,Set Bookmark 7,Command+F7,bookmark control,0,Set bookmark at current position,
VLC Media Player,Set Bookmark 8,Command+F8,bookmark control,0,Set bookmark at current position,
VLC Media Player,Reset Subtitle Text Scale,Command+0,subtitle control,0,Reset subtitle text scale,
VLC Media Player,Increase Subtitle Text Size,Command+Mouse Wheel Up,subtitle control,0,Increase subtitle text size,
VLC Media Player,Decrease Subtitle Text Size,Command+Mouse Wheel Down,subtitle control,0,Decrease subtitle text size,
Chrome,Reopen Closed Tab,Cmd + Shift + T,browser tab-management,0,Reopen recently closed tab,
Chrome,Next Tab,Cmd + Option + Right Arrow,browser tab-navigation,0,Switch to next tab,
Chrome,Previous Tab,Cmd + Option + Left Arrow,browser tab-navigation,0,Switch to previous tab,
Chrome,New Incognito Window,Cmd + Shift + N,browser window-management privacy,0,Open a new incognito window,
Chrome,Close Window,Cmd + Shift + W,browser window-management,0,Close current window,
Chrome,Hard Refresh,Cmd + Shift + R,browser navigation cache,0,Hard refresh (bypass cache),
Chrome,Go to Home Page,Cmd + Shift + H,browser navigation,0,Go to home page,
Chrome,Open Bookmarks Manager,Cmd + Shift + O,browser bookmarks,0,Open bookmarks manager,
Chrome,Bookmark All Open Tabs,Cmd + Shift + D,browser bookmarks,0,Bookmark all open tabs,
Chrome,Open Downloads Page,Cmd + Shift + J,browser downloads,0,Open downloads page,
Chrome,Open Developer Tools,Cmd + Option + I,browser developer-tools,0,Open developer tools,
Chrome,Open JavaScript Console,Cmd + Option + J,browser developer-tools,0,Open JavaScript console,
Chrome,View Page Source Code,Cmd + Option + U,browser developer-tools,0,View page source code,
Chrome,Find Previous Occurrence,Cmd + Shift + G,browser search,0,Find previous occurrence,
Chrome,Open Chrome Task Manager,Shift + Escape,browser system-tools,0,Open Chrome task manager,
Chrome,Browse as Guest,Cmd + Shift + M,browser privacy,0,Browse as guest,
Chrome,Toggle Full Screen Mode,Cmd + Control + F,browser view,0,Toggle full screen mode,
Safari,New Private Window,Cmd + Shift + N,browser window-management privacy,0,Open a new private window,
Safari,Show All Browsing History,Cmd + Option + 2,browser history,0,Show all browsing history,
Safari,Show Bookmarks,Cmd + Option + B,browser bookmarks,0,Show bookmarks,
Safari,Add Page to Reading List,Cmd + Shift + D,browser reading-list,0,Add page to reading list,
Safari,Show Reading List Sidebar,Cmd + Shift + L,browser reading-list,0,Show reading list sidebar,
Safari,Show Downloads,Cmd + Option + L,browser downloads,0,Show downloads,
Safari,Open Web Inspector,Cmd + Option + I,browser developer-tools,0,Open web inspector,
Safari,Hide/Show Toolbar,Cmd + Shift + Backslash,browser view,0,Hide/show toolbar,
Safari,Show Top Sites Page,Cmd + Option + 1,browser navigation,0,Show top sites page,
Safari,Show Tab Overview,Shift + Cmd + Backslash,browser tab-management,0,Show tab overview,
Arc Browser,Restore Recently Closed Tab,Cmd + Shift + T,browser tab-management,0,Restore recently closed tab,
Arc Browser,New Little Arc Window,Cmd + Shift + N,browser window-management,0,Open new Little Arc window,
Arc Browser,Open Split View Mode,Cmd + Shift + D,browser view,0,Open split view mode,
Arc Browser,Toggle Picture-in-Picture,Cmd + Shift + P,browser media,0,Toggle picture-in-picture,
Raycast,Global Launcher,Shift-Option-Command-15,productivity launcher hotkeys,0,Main application launcher shortcut,
Raycast,Quick Close Window,⌘W,productivity window-management,0,Close Raycast window quickly,
Raycast,File Search,Spotlight Alternative,productivity search launcher,0,Enhanced file and application search,
ChatGPT,Toggle Attached Launcher,Shift+Alt+1,ai chatbot launcher attachments,0,Open ChatGPT launcher with attachment options,
Ice,Toggle Always Hidden Section,⌃F5,menu-bar-management,0,Toggle visibility of always hidden menu bar items,
Ice,Toggle Hidden Section,⌃B,menu-bar-management,0,Toggle visibility of hidden menu bar items,
Sidekick AI,Toggle Inline Assistant,Cmd+Shift+I,ai productivity entertainment,0,Toggle the inline AI assistant interface,
Finder,Toggle Hidden Files Visibility,Cmd+Shift+.,file_visibility navigation finder,0,Toggle hidden files visibility,
Finder,Create New Folder,Cmd+Shift+N,file_operations finder folder_creation,0,Create new folder,
Finder,Empty Trash Completely,Cmd+Shift+Delete,trash_management finder cleanup,0,Empty trash completely,
Finder,Navigate to Specific Folder Path,Cmd+Shift+G,navigation finder path_navigation,0,Navigate to specific folder path,
Finder,Navigate to Computer View,Cmd+Shift+C,navigation finder computer_view,0,Navigate to computer view,
Finder,Navigate to Desktop Folder,Cmd+Shift+D,navigation finder desktop,0,Navigate to desktop folder,
Finder,Navigate to Documents Folder,Cmd+Shift+O,navigation finder documents,0,Navigate to documents folder,
Finder,Navigate to Downloads Folder,Cmd+Alt+L,navigation finder downloads,0,Navigate to downloads folder,
Finder,Navigate to Home Folder,Cmd+Shift+H,navigation finder home,0,Navigate to home folder,
Finder,Navigate to Applications Folder,Cmd+Shift+A,navigation finder applications,0,Navigate to applications folder,
Finder,Navigate to Utilities Folder,Cmd+Shift+U,navigation finder utilities,0,Navigate to utilities folder,
Finder,Toggle Toolbar Visibility,Cmd+Alt+T,interface finder toolbar,0,Toggle toolbar visibility,
Finder,Toggle Path Bar Visibility,Cmd+Alt+P,interface finder path_bar,0,Toggle path bar visibility,
macOS,Force Quit App,Option-Command-Esc,macos app-management,0,Force quit an app.,App management
macOS,App Switcher,Command-Tab,macos app-management,0,Switch to the next most recently used app among your open apps.,App management
macOS,Find Items/Open Find Window,Command-F,macos search,0,Find items in a document or open a Find window.,Common Shortcuts
macOS,Find Next Occurrence,Command-G,macos search,0,Find the next occurrence of the item previously found.,Common Shortcuts
macOS,Hide Front App Windows,Command-H,macos window-management,0,Hide the windows of the front app.,Common Shortcuts
macOS,Minimize Front Window,Command-M,macos window-management,0,Minimize the front window to the Dock.,Common Shortcuts
macOS,Open Print Dialog,Command-P,macos printing,0,Open a print dialog so that you can print the current document.,Common Shortcuts
macOS,Quit Current App,Command-Q,macos app-management,0,Quit the current app.,Common Shortcuts
macOS,Save Current Document,Command-S,macos file-management,0,Save the current document.,Common Shortcuts
macOS,Open New Tab,Command-T,macos tab-management,0,Open a new tab.,Common Shortcuts
macOS,Close Front Window,Command-W,macos window-management,0,Close the front window.,Common Shortcuts
macOS,Quick Look Selected Item,Space bar,macos quick-look preview,0,Use Quick Look to preview the selected item.,Common Shortcuts
macOS,Switch App Windows,Command–Grave accent (`),macos app-management window-management,0,Switch between the windows of the app you're using.,Common Shortcuts
macOS,Take Screenshot/Screen Recording,Shift-Command-5,macos screenshot screen-recording,0,Take a screenshot or make a screen recording.,Common Shortcuts
macOS,Create New Empty Folder (Finder),Shift-Command-N,finder file-management,0,Create a new empty folder in the Finder.,Common Shortcuts
macOS,Create New Folder with Selected Items,Control-Command-N,finder file-management,0,Create a new folder that contains the currently selected items.,Common Shortcuts
macOS,Create Quick Note,Fn-Q,macos notes quick-note,0,Create a Quick Note.,Common Shortcuts
macOS,Duplicate Selected Files,Command-D,finder file-management,0,Duplicate the selected files.,Finder & System
macOS,Eject Disk/Volume,Command-E,finder file-management,0,Eject the selected disk or volume.,Finder & System
macOS,Start Spotlight Search (Finder),Command-F,finder search,0,Start a Spotlight search in the Finder window.,Finder & System
macOS,Show Get Info Window,Command-I,finder file-info,0,Show the Get Info window for a selected file.,Finder & System
macOS,Show Original File (Alias),Command-R,finder alias,0,When an alias is selected in the Finder: show the original file for the selected alias.,Finder & System
macOS,Open Computer Window,Shift-Command-C,finder navigation,0,Open the Computer window.,Finder & System
macOS,Open Desktop Folder,Shift-Command-D,finder navigation,0,Open the desktop folder.,Finder & System
macOS,Open Go to Folder Window,Shift-Command-G,finder navigation,0,Open a Go to Folder window.,Finder & System
macOS,Open Home Folder,Shift-Command-H,finder navigation,0,Open the Home folder of the current macOS user account.,Finder & System
macOS,Open iCloud Drive,Shift-Command-I,finder navigation,0,Open iCloud Drive.,Finder & System
macOS,Open Network Window,Shift-Command-K,finder navigation,0,Open the Network window.,Finder & System
macOS,Open Downloads Folder,Option-Command-L,finder navigation,0,Open the Downloads folder.,Finder & System
macOS,Open Documents Folder,Shift-Command-O,finder navigation,0,Open the Documents folder.,Finder & System
macOS,Show/Hide Preview Pane (Finder),Shift-Command-P,finder display,0,Show or hide the Preview pane in Finder windows.,Finder & System
macOS,Open AirDrop Window,Shift-Command-R,finder airdrop,0,Open the AirDrop window.,Finder & System
macOS,Show/Hide Tab Bar (Finder),Shift-Command-T,finder display,0,Show or hide the tab bar in Finder windows.,Finder & System
macOS,Add Finder Item to Dock,Control-Shift-Command-T,finder dock,0,Add selected Finder item to the Dock (OS X Mavericks or later).,Finder & System
macOS,Toggle Dock Magnification,Control-Shift,macos dock,0,Press and hold while accessing the Dock to use or stop using Dock magnification.,Finder & System
macOS,Open Utilities Folder,Shift-Command-U,finder navigation,0,Open the Utilities folder.,Finder & System
